provider,geography,region,location,latitude,longitude,instance_type,hourly_cost_usd,compute_capability,gpu_power_watts,electricity_price_kwh
"Google Cloud","Osaka, Japan, APAC","asia-northeast2","Osaka, Japan, APAC","34.6937","135.5023","H100-80GB","4.333","100","450","0.24"
"Google Cloud","Osaka, Japan, APAC","asia-northeast2","Osaka, Japan, APAC","34.6937","135.5023","A100-40GB","2.996","90","350","0.24"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","MI250X-128GB","4.565","92","560","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","P40-24GB","1.387","70","250","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","V100-32GB","2.219","80","300","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","T4-16GB","0.764","60","70","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","A100-80GB","3.805","95","400","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","K80-12GB","0.693","45","300","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","MI250X-128GB","4.585","92","560","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","V100-16GB","2.082","75","250","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","L4-24GB","0.887","65","72","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","RTX-3090","1.279","82","350","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","P40-24GB","1.681","70","250","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","T4-16GB","0.764","60","70","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","A100-40GB","3.328","90","350","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","V100-16GB","2.301","75","250","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","RTX-4090","1.575","88","450","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","L4-24GB","0.857","65","72","0.22"
"Google Cloud","Seoul, South Korea, APAC","asia-northeast3","Seoul, South Korea, APAC","37.5665","126.978","P40-24GB","1.496","70","250","0.22"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","V100-32GB","2.342","80","300","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","L40-48GB","1.741","85","300","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","K80-12GB","0.517","45","300","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","A100-40GB","2.479","90","350","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","H100-80GB","3.895","100","450","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","L40-48GB","2.143","85","300","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","P40-24GB","1.306","70","250","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","V100-16GB","1.562","75","250","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","A100-40GB","2.545","90","350","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","L4-24GB","0.819","65","72","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","MI250X-128GB","3.114","92","560","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","A100-40GB","2.638","90","350","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","K80-12GB","0.534","45","300","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","V100-16GB","1.849","75","250","0.08"
"Google Cloud","Mumbai, India, APAC","asia-south1","Mumbai, India, APAC","19.076","72.8777","P4-8GB","0.408","50","75","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","P40-24GB","1.248","70","250","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","MI250X-128GB","3.021","92","560","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","L40-48GB","1.819","85","300","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","L4-24GB","0.737","65","72","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","RTX-3080","0.835","78","320","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","RTX-3090","1.156","82","350","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","RTX-4090","1.442","88","450","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","P40-24GB","1.355","70","250","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","V100-16GB","1.865","75","250","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","P4-8GB","0.401","50","75","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","H100-80GB","3.704","100","450","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","K80-12GB","0.459","45","300","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","RTX-4090","1.244","88","450","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","L40-48GB","1.792","85","300","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","V100-16GB","1.850","75","250","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","H100-80GB","4.257","100","450","0.08"
"Google Cloud","Delhi, India, APAC","asia-south2","Delhi, India, APAC","28.7041","77.1025","P4-8GB","0.437","50","75","0.08"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","T4-16GB","0.893","60","70","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","P4-8GB","0.551","50","75","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","MI250X-128GB","4.325","92","560","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","A100-40GB","3.406","90","350","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","RTX-3080","1.156","78","320","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","MI250X-128GB","4.820","92","560","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","V100-32GB","3.116","80","300","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","RTX-4090","1.887","88","450","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","RTX-3090","1.334","82","350","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","H100-80GB","5.721","100","450","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","P4-8GB","0.563","50","75","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","P40-24GB","1.750","70","250","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","RTX-3090","1.290","82","350","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","RTX-3080","1.335","78","320","0.2"
"Google Cloud","Jurong West, Singapore, APAC","asia-southeast1","Jurong West, Singapore, APAC","1.3521","103.8198","RTX-4090","2.072","88","450","0.2"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","A100-40GB","2.996","90","350","0.12"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","K80-12GB","0.655","45","300","0.12"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","MI250X-128GB","3.616","92","560","0.12"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","RTX-4090","1.370","88","450","0.12"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","V100-32GB","2.449","80","300","0.12"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","V100-16GB","2.206","75","250","0.12"
"Google Cloud","Jakarta, Indonesia, APAC","asia-southeast2","Jakarta, Indonesia, APAC","-6.2088","106.8456","A100-80GB","3.336","95","400","0.12"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","RTX-3090","1.358","82","350","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","A100-80GB","3.412","95","400","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","H100-80GB","4.658","100","450","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","RTX-4090","1.457","88","450","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","K80-12GB","0.717","45","300","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","RTX-4090","1.736","88","450","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","P4-8GB","0.558","50","75","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","T4-16GB","0.722","60","70","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","L40-48GB","2.070","85","300","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","P4-8GB","0.532","50","75","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","A100-40GB","2.640","90","350","0.26"
"Google Cloud","Sydney, Australia, APAC","australia-southeast1","Sydney, Australia, APAC","-33.8688","151.2093","MI250X-128GB","3.823","92","560","0.26"
"Google Cloud","Melbourne, Australia, APAC","australia-southeast2","Melbourne, Australia, APAC","-37.8136","144.9631","P4-8GB","0.550","50","75","0.26"
"Google Cloud","Melbourne, Australia, APAC","australia-southeast2","Melbourne, Australia, APAC","-37.8136","144.9631","L40-48GB","2.052","85","300","0.26"
"Google Cloud","Melbourne, Australia, APAC","australia-southeast2","Melbourne, Australia, APAC","-37.8136","144.9631","T4-16GB","0.744","60","70","0.26"
"Google Cloud","Melbourne, Australia, APAC","australia-southeast2","Melbourne, Australia, APAC","-37.8136","144.9631","A100-80GB","3.177","95","400","0.26"
"Google Cloud","Melbourne, Australia, APAC","australia-southeast2","Melbourne, Australia, APAC","-37.8136","144.9631","P40-24GB","1.541","70","250","0.26"
"Google Cloud","Melbourne, Australia, APAC","australia-southeast2","Melbourne, Australia, APAC","-37.8136","144.9631","RTX-4090","1.637","88","450","0.26"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","L4-24GB","0.973","65","72","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","RTX-3090","1.331","82","350","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","RTX-3080","0.972","78","320","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","P4-8GB","0.462","50","75","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","L40-48GB","2.364","85","300","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","L4-24GB","0.882","65","72","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","RTX-3080","1.035","78","320","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","H100-80GB","4.261","100","450","0.22"
"Google Cloud","Warsaw, Poland, Europe","europe-central2","Warsaw, Poland, Europe","52.2297","21.0122","P40-24GB","1.615","70","250","0.22"
"Google Cloud","Hamina, Finland, Europe","europe-north1","Hamina, Finland, Europe","40","-95","RTX-4090","1.567","88","450","0.16"
"Google Cloud","Hamina, Finland, Europe","europe-north1","Hamina, Finland, Europe","40","-95","P40-24GB","1.280","70","250","0.16"
"Google Cloud","Hamina, Finland, Europe","europe-north1","Hamina, Finland, Europe","40","-95","P4-8GB","0.470","50","75","0.16"
"Google Cloud","Hamina, Finland, Europe","europe-north1","Hamina, Finland, Europe","40","-95","A100-40GB","3.329","90","350","0.16"
"Google Cloud","Hamina, Finland, Europe","europe-north1","Hamina, Finland, Europe","40","-95","V100-32GB","2.678","80","300","0.16"
"Google Cloud","Stockholm, Sweden, Europe","europe-north2","Stockholm, Sweden, Europe","59.3293","18.0686","K80-12GB","0.695","45","300","0.2"
"Google Cloud","Stockholm, Sweden, Europe","europe-north2","Stockholm, Sweden, Europe","59.3293","18.0686","L4-24GB","1.000","65","72","0.2"
"Google Cloud","Stockholm, Sweden, Europe","europe-north2","Stockholm, Sweden, Europe","59.3293","18.0686","A100-40GB","3.240","90","350","0.2"
"Google Cloud","Stockholm, Sweden, Europe","europe-north2","Stockholm, Sweden, Europe","59.3293","18.0686","MI250X-128GB","3.930","92","560","0.2"
"Google Cloud","Stockholm, Sweden, Europe","europe-north2","Stockholm, Sweden, Europe","59.3293","18.0686","V100-32GB","2.217","80","300","0.2"
"Google Cloud","Madrid, Spain, Europe","europe-southwest1","Madrid, Spain, Europe","40.4168","-3.7038","P40-24GB","1.620","70","250","0.26"
"Google Cloud","Madrid, Spain, Europe","europe-southwest1","Madrid, Spain, Europe","40.4168","-3.7038","H100-80GB","4.935","100","450","0.26"
"Google Cloud","Madrid, Spain, Europe","europe-southwest1","Madrid, Spain, Europe","40.4168","-3.7038","A100-80GB","3.507","95","400","0.26"
"Google Cloud","Madrid, Spain, Europe","europe-southwest1","Madrid, Spain, Europe","40.4168","-3.7038","A100-40GB","2.608","90","350","0.26"
"Google Cloud","Madrid, Spain, Europe","europe-southwest1","Madrid, Spain, Europe","40.4168","-3.7038","MI250X-128GB","3.525","92","560","0.26"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","RTX-4090","1.771","88","450","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","V100-32GB","2.428","80","300","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","A100-40GB","2.721","90","350","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","V100-32GB","2.289","80","300","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","RTX-4090","1.554","88","450","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","RTX-3090","1.214","82","350","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","V100-32GB","2.882","80","300","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","K80-12GB","0.674","45","300","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","MI250X-128GB","4.063","92","560","0.3"
"Google Cloud","St. Ghislain, Belgium, Europe","europe-west1","St. Ghislain, Belgium, Europe","40","-95","L4-24GB","0.938","65","72","0.3"
"Google Cloud","Berlin, Germany, Europe","europe-west10","Berlin, Germany, Europe","40","-95","V100-16GB","2.331","75","250","0.32"
"Google Cloud","Berlin, Germany, Europe","europe-west10","Berlin, Germany, Europe","40","-95","MI250X-128GB","3.970","92","560","0.32"
"Google Cloud","Berlin, Germany, Europe","europe-west10","Berlin, Germany, Europe","40","-95","P4-8GB","0.461","50","75","0.32"
"Google Cloud","Berlin, Germany, Europe","europe-west10","Berlin, Germany, Europe","40","-95","RTX-3080","1.060","78","320","0.32"
"Google Cloud","Berlin, Germany, Europe","europe-west10","Berlin, Germany, Europe","40","-95","RTX-3090","1.157","82","350","0.32"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","P40-24GB","1.495","70","250","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","RTX-3080","1.065","78","320","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","T4-16GB","0.863","60","70","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","L4-24GB","0.981","65","72","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","P4-8GB","0.494","50","75","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","L4-24GB","0.987","65","72","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","A100-80GB","3.227","95","400","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","K80-12GB","0.639","45","300","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","T4-16GB","0.718","60","70","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","MI250X-128GB","4.463","92","560","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","RTX-3080","1.010","78","320","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","T4-16GB","0.832","60","70","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","L4-24GB","0.842","65","72","0.28"
"Google Cloud","Turin, Italy, Europe","europe-west12","Turin, Italy, Europe","40","-95","A100-40GB","2.912","90","350","0.28"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","K80-12GB","0.808","45","300","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","H100-80GB","6.005","100","450","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","RTX-4090","1.725","88","450","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","RTX-3090","1.572","82","350","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","A100-40GB","3.505","90","350","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","L4-24GB","1.148","65","72","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","P4-8GB","0.596","50","75","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","A100-40GB","3.351","90","350","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","A100-80GB","3.973","95","400","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","T4-16GB","0.833","60","70","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","L4-24GB","1.176","65","72","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","P4-8GB","0.655","50","75","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","A100-80GB","4.128","95","400","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","V100-16GB","2.064","75","250","0.3"
"Google Cloud","London, England, Europe","europe-west2","London, England, Europe","51.5074","-0.1278","RTX-4090","2.042","88","450","0.3"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","P40-24GB","1.852","70","250","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","MI250X-128GB","4.529","92","560","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","K80-12GB","0.829","45","300","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","H100-80GB","5.177","100","450","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","T4-16GB","0.886","60","70","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","L40-48GB","2.387","85","300","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","A100-40GB","3.538","90","350","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","T4-16GB","0.868","60","70","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","L40-48GB","2.749","85","300","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","L40-48GB","2.512","85","300","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","RTX-4090","1.963","88","450","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","P40-24GB","1.835","70","250","0.32"
"Google Cloud","Frankfurt, Germany, Europe","europe-west3","Frankfurt, Germany, Europe","50.1109","8.6821","H100-80GB","4.840","100","450","0.32"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","L4-24GB","0.962","65","72","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","RTX-3080","0.909","78","320","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","H100-80GB","4.432","100","450","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","T4-16GB","0.717","60","70","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","P4-8GB","0.491","50","75","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","L40-48GB","2.592","85","300","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","T4-16GB","0.777","60","70","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","P4-8GB","0.588","50","75","0.26"
"Google Cloud","Eemshaven, Netherlands, Europe","europe-west4","Eemshaven, Netherlands, Europe","40","-95","L40-48GB","2.286","85","300","0.26"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","L4-24GB","1.210","65","72","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","L40-48GB","2.530","85","300","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","RTX-3090","1.498","82","350","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","L4-24GB","1.152","65","72","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","RTX-3080","1.294","78","320","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","K80-12GB","0.768","45","300","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","L4-24GB","1.219","65","72","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","V100-32GB","2.829","80","300","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","A100-80GB","3.479","95","400","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","RTX-3090","1.484","82","350","0.2"
"Google Cloud","Zurich, Switzerland, Europe","europe-west6","Zurich, Switzerland, Europe","47.3769","8.5417","H100-80GB","5.474","100","450","0.2"
"Google Cloud","Milan, Italy, Europe","europe-west8","Milan, Italy, Europe","45.4642","9.19","MI250X-128GB","3.623","92","560","0.28"
"Google Cloud","Milan, Italy, Europe","europe-west8","Milan, Italy, Europe","45.4642","9.19","L4-24GB","0.945","65","72","0.28"
"Google Cloud","Milan, Italy, Europe","europe-west8","Milan, Italy, Europe","45.4642","9.19","T4-16GB","0.856","60","70","0.28"
"Google Cloud","Milan, Italy, Europe","europe-west8","Milan, Italy, Europe","45.4642","9.19","RTX-3080","1.172","78","320","0.28"
"Google Cloud","Milan, Italy, Europe","europe-west8","Milan, Italy, Europe","45.4642","9.19","A100-80GB","3.730","95","400","0.28"
